"horizon","variable","shock","share"
5,"z","demand",0.91471809225227
6,"z","demand",0.90953174590089
7,"z","demand",0.905882873225326
8,"z","demand",0.903284581224002
9,"z","demand",0.90140858866079
10,"z","demand",0.900038179515566
11,"z","demand",0.899026949041583
12,"z","demand",0.898274660823978
13,"z","demand",0.897711339664662
14,"z","demand",0.89728734715228
15,"z","demand",0.896966939281211
16,"z","demand",0.896724055160369
17,"z","demand",0.896539494738237
18,"z","demand",0.896398993108065
19,"z","demand",0.896291880276721
20,"z","demand",0.896210132604937
21,"z","demand",0.896147691215345
22,"z","demand",0.896099965974884
23,"z","demand",0.896063470671665
24,"z","demand",0.896035552357201
25,"z","demand",0.896014189146107
26,"z","demand",0.895997838320421
27,"z","demand",0.895985321724692
28,"z","demand",0.895975739001193
29,"z","demand",0.895968401727415
30,"z","demand",0.895962783317145
31,"z","demand",0.895958480851466
32,"z","demand",0.895955185963059
33,"z","demand",0.895952662605404
34,"z","demand",0.895950730066481
35,"z","demand",0.895949249982452
36,"z","demand",0.895948116405137
37,"z","demand",0.895947248202673
38,"z","demand",0.895946583243802
39,"z","demand",0.895946073946306
40,"z","demand",0.895945683869088
41,"z","demand",0.89594538510294
42,"z","demand",0.895945156272641
43,"z","demand",0.895944981007035
44,"z","demand",0.895944846767433
45,"z","demand",0.895944743950364
46,"z","demand",0.895944665200423
47,"z","demand",0.895944604883994
48,"z","demand",0.895944558686197
49,"z","demand",0.895944523302181
50,"z","demand",0.895944496200693
0,"z","supply",0.0483930395931493
1,"z","supply",0.0387554754975495
2,"z","supply",0.0526030779307539
3,"z","supply",0.0672112500914053
4,"z","supply",0.0778140182658652
5,"z","supply",0.0852819077477302
6,"z","supply",0.0904682540991102
7,"z","supply",0.0941171267746739
8,"z","supply",0.0967154187759982
9,"z","supply",0.0985914113392096
10,"z","supply",0.0999618204844338
11,"z","supply",0.100973050958417
12,"z","supply",0.101725339176023
13,"z","supply",0.102288660335338
14,"z","supply",0.10271265284772
15,"z","supply",0.103033060718789
16,"z","supply",0.103275944839631
17,"z","supply",0.103460505261763
18,"z","supply",0.103601006891935
19,"z","supply",0.103708119723278
20,"z","supply",0.103789867395063
21,"z","supply",0.103852308784655
22,"z","supply",0.103900034025116
23,"z","supply",0.103936529328335
24,"z","supply",0.103964447642799
25,"z","supply",0.103985810853893
26,"z","supply",0.104002161679579
27,"z","supply",0.104014678275308
28,"z","supply",0.104024260998807
29,"z","supply",0.104031598272585
30,"z","supply",0.104037216682855
31,"z","supply",0.104041519148534
32,"z","supply",0.104044814036941
33,"z","supply",0.104047337394596
34,"z","supply",0.104049269933519
35,"z","supply",0.104050750017548
36,"z","supply",0.104051883594863
37,"z","supply",0.104052751797327
38,"z","supply",0.104053416756197
39,"z","supply",0.104053926053694
40,"z","supply",0.104054316130912
41,"z","supply",0.10405461489706
42,"z","supply",0.104054843727359
43,"z","supply",0.104055018992965
44,"z","supply",0.104055153232567
45,"z","supply",0.104055256049636
