"horizon","response","shock","irf","lower","upper"
8,"z","demand",-0.208164981637876,0.00614276485590267,0.0148903735321123
9,"z","demand",-0.184714859137003,-0.143102200240544,0.0028046408841735
10,"z","demand",-0.161033122951154,-0.000841762701477222,0.000386003456897023
11,"z","demand",-0.146307864551763,-0.0871876686745463,0.0020303929047642
12,"z","demand",-0.134581012345568,0.00614185333925878,0.0149505629565426
13,"z","demand",-0.125834377120773,-0.13763211057408,0.0025099579650229
14,"z","demand",-0.117462885165014,-0.00080331111532379,0.000353224904150242
15,"z","demand",-0.109530625187188,-0.08207825875491,0.00158040841451508
16,"z","demand",-0.102140452486956,0.00613982478072592,0.0150809893452033
17,"z","demand",-0.0950481249048712,-0.131737344788271,0.00211971531125278
18,"z","demand",-0.0880240861986518,-0.000767627532604064,0.000325822583221141
19,"z","demand",-0.0811765958087614,-0.0769644260203081,0.0014101740576181
20,"z","demand",-0.0747143092234749,0.00614204672356906,0.0151228207855214
21,"z","demand",-0.0686352326295046,-0.124475348485621,0.0014925430788777
22,"z","demand",-0.0629830555348328,-0.000725538634702348,0.000297680846912516
23,"z","demand",-0.0577408775192343,-0.072593144747505,0.00122848871666603
24,"z","demand",-0.052938628533349,0.00613620452982231,0.015174390491897
25,"z","demand",-0.0485542074427985,-0.11998482857438,0.00126719763773395
26,"z","demand",-0.0445531365826108,-0.000683129011506301,0.000271815033370265
27,"z","demand",-0.0408991751487945,-0.0684305455797713,0.00102243085645649
28,"z","demand",-0.0375620242516754,0.00612341827886152,0.0152544224349296
29,"z","demand",-0.0345115783272731,-0.115246768328842,0.00104260563287065
30,"z","demand",-0.0317174937009863,-0.000641720426828772,0.000254252238639648
31,"z","demand",-0.0291540448945412,-0.0651070845893433,0.00078536948877451
32,"z","demand",-0.0267992998149428,0.00612012502596252,0.0153304795279292
33,"z","demand",-0.0246351131193806,-0.110395333335088,0.000851705981962716
34,"z","demand",-0.0226448037437952,-0.000603560795851546,0.00022946121506577
35,"z","demand",-0.0208139024400852,-0.0616568456277263,0.000522321281258134
36,"z","demand",-0.0191296137968924,0.00611768012819039,0.0154103467474613
37,"z","demand",-0.0175805135154944,-0.106262273253538,0.000715699907987013
38,"z","demand",-0.0161560524417641,-0.000573322914441121,0.000212602755884521
39,"z","demand",-0.0148464597429299,-0.0591586569622289,0.000449357931357279
40,"z","demand",-0.0136427143317282,0.00611586589085706,0.0154680814297718
41,"z","demand",-0.0125364536257722,-0.101415116207401,0.000570588805318943
42,"z","demand",-0.0115199086893231,-0.000552178304245549,0.000194123794836021
43,"z","demand",-0.0105858578080809,-0.0563594889197251,0.000385022604406785
44,"z","demand",-0.00972762867799546,0.00611422063552559,0.0155006792058501
45,"z","demand",-0.0089390660980054,-0.0967782775405651,0.000452995746768319
46,"z","demand",-0.00821450240302619,-0.000522725531039808,0.000177210882216346
47,"z","demand",-0.0075487227615783,-0.0537106603464681,0.000325121034104425
48,"z","demand",-0.00693693792422437,0.00611293576290154,0.0155424562907979
49,"z","demand",-0.00637475314258603,-0.092366785367437,0.000420271915364608
50,"z","demand",-0.00585813592287219,-0.000494843879538964,0.000161754264624269
0,"z","supply",-0.00754492233978132,-0.0511731299631511,0.000290083655996421
1,"z","supply",-0.241746113223357,0.00611198296981855,0.0155880804138052
2,"z","supply",-0.336211691969111,-0.0880850770376568,0.000338039086359286
3,"z","supply",-0.357431131119935,-0.000472973093374018,0.00015085053894437
4,"z","supply",-0.379416771395376,-0.0487628778392221,0.000291655095493315
5,"z","supply",-0.340149526398281,0.00611114756182496,0.0156838317792547
6,"z","supply",-0.337450885449834,-0.0838825632196914,0.00029084591328184
7,"z","supply",-0.304490042978574,-0.000445296002753008,0.00014113122405808
8,"z","supply",-0.269962726392542,-0.0464489554241067,0.000255893189755658
9,"z","supply",-0.236606940963398,0.00611069090534769,0.0157724910168418
10,"z","supply",-0.210770260077503,-0.0803203063284318,0.00024276799248962
