"horizon","variable","shock","share"
49,"z","demand",0.619088419599001
50,"z","demand",0.619083350927616
0,"z","supply",0.000139168876119633
1,"z","supply",0.0752167631621481
2,"z","supply",0.150812157732556
3,"z","supply",0.20285511872482
4,"z","supply",0.247816079631476
5,"z","supply",0.275203988303467
6,"z","supply",0.301422621520027
7,"z","supply",0.321229885381931
8,"z","supply",0.335453077285184
9,"z","supply",0.345400187702266
10,"z","supply",0.352965808480765
11,"z","supply",0.358595873177758
12,"z","supply",0.36281861386372
13,"z","supply",0.366001706708867
14,"z","supply",0.368486598404376
15,"z","supply",0.370505250978613
16,"z","supply",0.372149372480061
17,"z","supply",0.373512482133922
18,"z","supply",0.374656827487662
19,"z","supply",0.375629303418428
20,"z","supply",0.376455291797695
21,"z","supply",0.377156288581955
22,"z","supply",0.377750249737753
23,"z","supply",0.378253129397649
24,"z","supply",0.378677845569166
25,"z","supply",0.379035611065822
26,"z","supply",0.379336639969046
27,"z","supply",0.379589795137131
28,"z","supply",0.379802686609421
29,"z","supply",0.37998172082862
30,"z","supply",0.380132359443338
31,"z","supply",0.380259195087263
32,"z","supply",0.380366067568564
33,"z","supply",0.380456171386052
34,"z","supply",0.380532175897154
35,"z","supply",0.380596314284733
36,"z","supply",0.380650455147325
37,"z","supply",0.380696164889713
38,"z","supply",0.380734759708427
39,"z","supply",0.380767348416199
40,"z","supply",0.380794865829474
41,"z","supply",0.380818100773046
42,"z","supply",0.380837719269526
43,"z","supply",0.38085428394989
44,"z","supply",0.380868270086858
45,"z","supply",0.380880079098964
46,"z","supply",0.380890049981232
47,"z","supply",0.380898468981852
48,"z","supply",0.380905577780304
49,"z","supply",0.380911580400999
50,"z","supply",0.380916649072384
