horizon	z	c	i	y	k	l	r	w	case
3	0.955671625	0.652026045684398	3.0812137016009	1.22873966183724	0.31345857453992	0.288356808076419	0.986249167478367	0.940382853760817	phi_0
4	0.941336550625	0.683766428950087	2.97130404409384	1.22685089873242	0.379904711278768	0.271542234891165	0.913392324192497	0.955308663841252	phi_0
5	0.927216502365625	0.713106519009634	2.86599466942171	1.224223849683	0.442056960232341	0.255558665336685	0.844319138404237	0.96866518434632	phi_0
6	0.913308254830141	0.740171492427688	2.76507978627797	1.22090511614754	0.500132530883482	0.240366811859925	0.778848155915197	0.980538304287613	phi_0
7	0.899608631007689	0.765080515635693	2.6683630293164	1.21693895413543	0.554338293344305	0.225929219249867	0.716806423251946	0.99100973488556	phi_0
8	0.886114501542573	0.78794702659466	2.5756570239907	1.21236738568868	0.604871261610465	0.212210179547012	0.658029092344378	1.00015720614167	phi_0
9	0.872822784019435	0.808879003357849	2.48678297153567	1.20723030515546	0.651919054358595	0.199175650898806	0.602359043544995	1.00805465425665	phi_0
10	0.859730442259143	0.827979220141173	2.40157025315691	1.20156558049743	0.695660334328553	0.186793180178126	0.549646526138831	1.0147724003193	phi_0
11	0.846834485625256	0.84534549148095	2.3198560525392	1.19540914986169	0.736265227283819	0.175031829190368	0.499748815533132	1.02037732067132	phi_0
12	0.834131968340877	0.861070905031735	2.24148499582511	1.18879511363736	0.773895721497351	0.163862104302811	0.452529886353538	1.02493300933455	phi_0
13	0.821619988815764	0.875244043531383	2.1663088082544	1.18175582220663	0.808706048666277	0.153255889337624	0.407860100709279	1.02849993286901	phi_0
14	0.809295688983527	0.887949196435997	2.09418598669256	1.17432195959043	0.840843047116934	0.143186381577217	0.365615910924154	1.03113557801321	phi_0
15	0.797156253648774	0.899266561704173	2.02498148731255	1.16652262317954	0.870446508121825	0.133628030737685	0.325679576062608	1.03289459244186	phi_0
16	0.785198909844043	0.909272438187666	1.95856642772771	1.15838539973314	0.897649506111972	0.124556480772739	0.287938891611319	1.0338289189604	phi_0
17	0.773420926196382	0.918039409064462	1.89481780290651	1.14993643781833	0.922578713531835	0.115948514376933	0.252286931706357	1.0339879234414	phi_0
18	0.761819612303436	0.92563651672998	1.83361821423084	1.14120051685608	0.945354701049311	0.107782000063051	0.218621803324247	1.03341851679303	phi_0
19	0.750392318118885	0.932129429542887	1.77485561108903	1.13220111293154	0.966092223800303	0.100035841694326	0.186846411882228	1.03216527123721	phi_0
20	0.739136433347101	0.937580600803612	1.71842304442297	1.122960461519	0.98490049431587	0.0926899303576928	0.156868237718694	1.0302705311613	phi_0
21	0.728049386846895	0.942049420326102	1.66421843167575	1.11349961726523	1.00188344274987	0.0857250984695617	0.128599122949356	1.02777451879566	phi_0
