date	cY	cC	cL	cI
2016-07-01	8.31767455640176e-05	0.00492247401891177	-0.00211580819240709	-0.0268944826326489
2016-10-01	-0.000197042008196036	0.00386155706245361	-0.00217525666901786	-0.00920964189934992
2017-01-01	-0.00109821069342253	0.00538506967251351	-0.00516084605176648	-0.0206907155393399
2017-04-01	-0.00122127340930689	0.00427192495511797	-0.00234339911153647	-0.012093268613123
2017-07-01	0.000982071051456757	0.00503189959040107	-0.00245777433518057	-0.00456446540872335
2017-10-01	0.0065976148988014	0.0099751554358356	0.000310234902689999	0.00467369672326079
2018-01-01	0.0091692825468126	0.011327853990954	0.00015688215508014	0.0126757654148442
2018-04-01	0.00899547160785019	0.0108509545884736	-1.34939479350393e-05	0.00565130438986117
2018-07-01	0.00979997268472133	0.0096572717122605	-0.000199412485589967	0.0277370999390918
2018-10-01	0.00584502208012161	0.00698766335403	-0.000399384103400457	0.0194533163249968
2019-01-01	0.00672278624344358	0.00274290918206432	-0.000611794814078248	0.020261274607476
2019-04-01	0.00969595282069946	0.0053461457860422	-0.0037375406732334	0.0218505085491358
2019-07-01	0.0159606552373361	0.0106299428860694	-0.00396885639083289	0.018495430527242
2019-10-01	0.017332856065039	0.0110095048334724	-0.00711512989526453	-0.00943096037331159
2020-01-01	-0.00143945533632639	-0.0123464531170256	-0.0102665884026671	-0.0417258913013612
2020-04-01	-0.0891556642350544	-0.109475737575552	-0.00174983251661498	-0.207857676080078
2020-07-01	-0.020274636848562	-0.0311766403800533	0.0038463566837601	-0.0435603754834979
2020-10-01	-0.015079614947263	-0.0248830336933814	0.00659165285536245	-0.0203220050854931
2021-01-01	-0.00747799596231147	-0.00985927390171604	0.00652763497706665	-0.0375948703176032
2021-04-01	0.00297969398070386	0.0168509187628363	0.00941394124001427	-0.0562303924065581
2021-07-01	0.0046506909674715	0.0173694694490631	0.0066506605240586	-0.0234243344227831
2021-10-01	0.0150178485294585	0.0190885648013452	0.0068486525634972	0.0423765424038685
2022-01-01	0.005748130218171	0.0121269694391035	0.00137314600123739	0.0660780586881753
2022-04-01	0.000536463246728403	0.0123864015368387	0.00174564565053803	0.0485841650101797
2022-07-01	0.000908770891021149	0.00918376870848014	0.00219568395815939	0.0320061320967824
2022-10-01	0.000934118277370999	0.00331777149152757	-0.000178950967286706	0.0415300746404075
2023-01-01	0.00127230922360155	0.00648895448859221	0.000401230759432991	0.0140305077003404
2023-04-01	0.000647354899562913	0.00242638520738581	-0.00187000286914696	0.0137918988354482
2023-07-01	0.00523384578131036	0.0022413355555102	-0.00119649762946672	0.0236010431705171
2023-10-01	0.00676586953107439	0.00200973414723826	-0.000489209520060374	0.0224146522901858
2024-01-01	0.00200620163296428	-0.001379410762258	-0.00266679727794195	0.00621945247402245
2024-04-01	0.00398545388475036	0.000497773714918992	-0.00191398326180003	0.0173585759872736
2024-07-01	0.00538336594648747	0.00257885852577644	-0.0011474537043985	0.0104046529025759
2024-10-01	0.00317478326430454	0.00452433571040345	-0.000371488391501806	-0.0168208273668977
2025-01-01	-0.00523394325639259	-0.00153349609132292	-0.00250936005364499	0.0234571065637521
2025-04-01	-0.00259279553657166	-0.00300914113048378	-0.00172497893111556	-0.0268045410980964
2025-07-01	0.00134320619847017	-0.00208156689919647	-0.000939817224169914	-0.0295953932465078
2025-10-01	-0.00422137955406576	-0.00487006478417484	-0.000154558917899728	-0.028629207817449
