"h","C_tech","C_gov","Y_tech","Y_gov","L_tech","L_gov","I_tech","I_gov"
20,0.996248572862802,0.00375142713719809,0.999581421124467,0.000418578875532552,0.732775040534575,0.267224959465425,0.998580104070835,0.00141989592916498
21,0.996364805436346,0.00363519456365413,0.999595362449053,0.000404637550947419,0.736393885064056,0.263606114935944,0.998604579949486,0.00139542005051378
22,0.996474304792706,0.00352569520729369,0.999608350070475,0.000391649929524932,0.741178210395539,0.258821789604462,0.998627589232779,0.00137241076722142
23,0.996577564167091,0.00342243583290923,0.99962046001408,0.000379539985919604,0.746948787263106,0.253051212736894,0.998649220830331,0.00135077916966855
24,0.996675032423584,0.00332496757641641,0.999631761650793,0.0003682383492072,0.753517678516307,0.246482321483693,0.998669558602961,0.00133044139703915
25,0.996767118763461,0.00323288123653893,0.999642318317858,0.000357681682142296,0.760698889665018,0.239301110334982,0.998688681603796,0.00131131839620427
26,0.996854196864545,0.00314580313545456,0.999652187878514,0.000347812121486119,0.768316803315997,0.231683196684003,0.998706664312402,0.00129333568759815
27,0.996936608527807,0.00306339147219313,0.99966142322692,0.000338576773079937,0.776212116977114,0.223787883022886,0.998723576861679,0.00127642313832057
28,0.997014666896344,0.00298533310365617,0.999670072743971,0.000329927256029153,0.784245378502589,0.21575462149741,0.998739485257353,0.00126051474264709
29,0.997088659302511,0.00291134069748901,0.999678180709026,0.000321819290973847,0.792298459425725,0.207701540574275,0.99875445158992,0.00124554841007981
30,0.99715884979104,0.0028411502089604,0.999685787672038,0.000314212327962453,0.800274425083042,0.199725574916958,0.998768534238975,0.00123146576102541
31,0.997225481359277,0.00277451864072255,0.999692930790075,0.000307069209924902,0.808096278272575,0.191903721727425,0.998781788069854,0.00121821193014604
32,0.99728877794997,0.00271122205002974,0.999699644131833,0.000300355868167152,0.815705005396694,0.184294994603306,0.99879426462261,0.00120573537738956
33,0.997348946227151,0.00265105377284861,0.999705958953313,0.000294041046687072,0.823057273183395,0.176942726816605,0.998806012293328,0.00119398770667153
34,0.997406177161569,0.00259382283843077,0.999711903947552,0.00028809605244761,0.830123034612368,0.169876965387632,0.998817076507851,0.00118292349214944
35,0.997460647448548,0.00253935255145231,0.999717505470958,0.000282494529042096,0.836883219883596,0.163116780116404,0.998827499887998,0.00117250011200181
36,0.997512520778152,0.00248747922184825,0.999722787748547,0.000277212251452628,0.843327619721279,0.156672380278721,0.9988373224104,0.00116267758960001
37,0.997561948974938,0.00243805102506152,0.99972777306016,0.000272226939839567,0.849453016155732,0.150546983844268,0.998846581558061,0.00115341844193851
38,0.997609073022348,0.00239092697765176,0.999732481909488,0.000267518090511607,0.85526157911934,0.14473842088066,0.99885531246483,0.00114468753517045
39,0.997654023984876,0.00234597601512417,0.999736933177585,0.000263066822414476,0.860759523166876,0.139240476833124,0.998863548052921,0.00113645194707919
40,0.99769692383951,0.00230307616048962,0.999741144262355,0.000258855737644843,0.865956004411661,0.134043995588339,0.998871319163697,0.00112868083630267
